
Itemset: 
{ 0 }	31
{ 1 }	33
{ 2 }	66
{ 3 }	33
{ 4 }	28
{ 5 }	119
{ 6 }	64
{ 7 }	97
{ 8 }	26
{ 9 }	64
{ 10 }	172
{ 11 }	125
{ 12 }	285
{ 13 }	145
{ 14 }	29
{ 15 }	152
{ 16 }	38
{ 17 }	80
{ 18 }	119
{ 19 }	73
{ 20 }	29
{ 21 }	35
{ 22 }	238
{ 23 }	134
{ 24 }	66
{ 25 }	52
{ 26 }	118
{ 27 }	86
{ 28 }	28
{ 29 }	127
{ 30 }	78
{ 31 }	256
{ 32 }	28
{ 33 }	128
{ 34 }	25
{ 35 }	96
{ 36 }	100
{ 37 }	29
{ 38 }	38
{ 39 }	119
{ 40 }	173
{ 41 }	46
{ 42 }	81
{ 43 }	83
{ 44 }	40
{ 45 }	85
{ 46 }	39
{ 47 }	80
{ 48 }	83
{ 49 }	91
{ 50 }	113
{ 51 }	120
{ 52 }	28
{ 53 }	164
{ 54 }	68
{ 55 }	132
{ 56 }	51
{ 57 }	170
{ 58 }	34
{ 59 }	36
{ 60 }	29
{ 61 }	49
{ 62 }	164
{ 63 }	97
{ 64 }	88
{ 65 }	113
{ 66 }	122
{ 67 }	80
{ 68 }	88
{ 69 }	124
{ 70 }	82
{ 71 }	36
{ 72 }	33
{ 73 }	185
{ 74 }	33
{ 75 }	81
{ 76 }	23
{ 77 }	42
{ 78 }	23
{ 79 }	93
{ 80 }	25
{ 81 }	35
{ 82 }	137
{ 83 }	106
{ 84 }	280
{ 85 }	54
{ 86 }	98
{ 87 }	47
{ 88 }	24
{ 89 }	59
{ 90 }	28
{ 91 }	33
{ 92 }	35
{ 93 }	54
{ 94 }	31
{ 95 }	74
{ 96 }	103
{ 97 }	132
{ 98 }	185
{ 99 }	50

Itemset: 
{ 2  10 }	11
{ 2  12 }	13
{ 2  15 }	7
{ 2  29 }	11
{ 2  31 }	11
{ 2  39 }	7
{ 2  57 }	8
{ 2  62 }	8
{ 2  66 }	8
{ 2  67 }	7
{ 2  98 }	8
{ 3  22 }	7
{ 4  22 }	7
{ 4  35 }	8
{ 5  7 }	9
{ 5  10 }	8
{ 5  11 }	12
{ 5  12 }	25
{ 5  13 }	9
{ 5  15 }	8
{ 5  17 }	7
{ 5  18 }	7
{ 5  22 }	16
{ 5  23 }	12
{ 5  26 }	7
{ 5  27 }	11
{ 5  31 }	11
